                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85279,                  4.372,                 1.3207,                      0,                      0,                      0,                      0,                0.47652,                  4.837,                 1.0745,             0.00010323,             0.00010323,             0.00010323
                      2,                0.71273,                 3.9907,                 1.2164,                0.05056,                0.82137,                0.16266,                0.14812,                0.48252,                 4.4446,                 1.0677,             0.00020564,             0.00020564,             0.00020564
                      3,                0.70905,                 3.6301,                 1.2126,                0.53424,                0.11565,                0.20936,                0.18227,                0.51625,                 3.9896,                  1.101,             0.00030382,             0.00030382,             0.00030382
                      4,                0.74413,                 3.3412,                 1.2419,                0.30786,                0.50455,                0.27495,                0.23373,                0.56054,                 3.9248,                 1.1302,             0.00031322,             0.00031322,             0.00031322
                      5,                0.75147,                 3.1047,                 1.2602,                0.52359,                0.33535,                0.38896,                0.34405,                0.56026,                 3.5707,                 1.1032,             0.00030663,             0.00030663,             0.00030663
                      6,                0.72298,                 2.9751,                 1.2129,                0.43085,                0.47755,                0.40201,                0.34476,                0.52775,                  3.458,                 1.1125,             0.00030003,             0.00030003,             0.00030003
                      7,                 0.7225,                 2.8331,                 1.2148,                0.38255,                0.45265,                0.44992,                0.39446,                0.58444,                 3.3332,                 1.1449,             0.00029344,             0.00029344,             0.00029344
                      8,                0.66742,                 2.6332,                 1.1651,                0.52885,                0.57384,                0.53802,                0.46589,                0.55208,                 3.0261,                 1.1441,             0.00028685,             0.00028685,             0.00028685
                      9,                0.68779,                  2.595,                 1.2073,                 0.4719,                 0.6204,                0.61548,                  0.548,                0.52168,                 2.9097,                 1.0881,             0.00028025,             0.00028025,             0.00028025
                     10,                0.65179,                 2.4803,                 1.1686,                0.62781,                0.57229,                0.65367,                0.58664,                0.54312,                 2.8554,                  1.131,             0.00027366,             0.00027366,             0.00027366
                     11,                0.67459,                 2.4198,                 1.1735,                0.59135,                0.58873,                0.67081,                0.58906,                0.53573,                 2.7515,                 1.0959,             0.00026707,             0.00026707,             0.00026707
                     12,                0.64959,                 2.2827,                 1.1619,                0.60202,                 0.6678,                0.72101,                0.63534,                0.52668,                 2.4812,                 1.0743,             0.00026047,             0.00026047,             0.00026047
                     13,                0.63161,                 2.1939,                   1.13,                0.55419,                0.66915,                0.73632,                0.65294,                 0.4885,                   2.43,                 1.0598,             0.00025388,             0.00025388,             0.00025388
                     14,                0.61086,                 2.0704,                 1.1178,                 0.6388,                0.66889,                0.75046,                0.67351,                 0.5381,                 2.3768,                 1.0818,             0.00024729,             0.00024729,             0.00024729
                     15,                0.60266,                 2.0543,                 1.1113,                0.65954,                0.63508,                0.74207,                 0.6731,                0.50008,                 2.2951,                 1.0539,             0.00024069,             0.00024069,             0.00024069
